Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
   2.80978    1.62623    4.57598    0.00000 
   2.88881    1.70283    2.37401    0.00000 
   3.09505    1.74189    0.86144    0.00000 
   2.44466    1.26975   22.75336    0.00000 
   3.35864    1.28410    6.41772    0.00000 
   3.52824    1.96203   11.77446    0.00000 
   2.38650    2.58480   11.67273    0.00000 
   2.33125    2.52007   12.10240    0.00000 
   2.51543    2.47407    7.51157    0.00000 
   2.36449    3.10026   30.09244    0.00000 
   3.39956    1.49439    6.07764    0.00000 
   2.82141    2.65789    8.47354    0.00000 
   2.81011    1.70283    3.62604    0.00000 
   3.07027    2.52563    6.90464    0.00000 
   2.85571    2.52563    5.09507    0.00000 
   2.85571    2.52563    5.09507    0.00000 
   3.08428    1.96203    0.22984    0.00000 
   2.39367    2.55180   11.02083    0.00000 

Generation = 5

   2.47363    2.47627    8.36124    0.00000 
   2.92416    2.27272    1.21798    0.00000 
   2.95116    1.59481    2.75050    0.00000 
   3.52824    1.96203   11.77446    0.00000 
   3.10026    2.12377    0.91366    0.00000 
   2.90719    1.92179    0.55209    0.00000 
   2.38650    2.58480   11.67273    0.00000 
   3.10026    1.86014    0.41580    0.00000 
   2.51055    2.30799    6.40925    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.91706    2.38497    2.58761    0.00000 
   2.87914    1.92179    0.80497    0.00000 
   3.17456    1.62885    1.87364    0.00000 
   2.88590    1.81553    1.40186    0.00000 
   2.89960    1.70629    2.19876    0.00000 
   3.30065    1.67820    3.25238    0.00000 
   3.43508    2.30401   12.67339    0.00000 
   2.99603    2.17996    0.58423    0.00000 
   3.59604    2.08310   16.99165    0.00000 
   2.99603    1.73273    1.08800    0.00000 
   3.07987    2.11276    0.65357    0.00000 
   3.31155    1.98585    3.87615    0.00000 
   3.04459    2.38545    3.43901    0.00000 
   3.08428    1.96203    0.22984    0.00000 
   2.77745    1.51690    6.82133    0.00000 
   2.85571    2.52563    5.09507    0.00000 
   2.77745    2.10741    1.43632    0.00000 
   3.09505    1.74189    0.86144    0.00000 
   2.89960    1.65986    2.67927    0.00000 
   2.80978    1.83826    2.26267    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   3.10026    2.12377    0.91366    0.00000 
   3.22624    2.12558    2.90781    0.00000 
   2.85571    2.26639    1.31919    0.00000 
   2.83610    2.34452    2.15110    0.00000 
   2.89960    1.70629    2.19876    0.00000 
   2.56897    2.47627    6.59530    0.00000 
   3.07027    2.52563    6.90464    0.00000 
   2.48731    2.65075   10.99572    0.00000 
   2.88881    1.70283    2.37401    0.00000 

Generation = 6

   3.10026    2.12377    0.91366    0.00000 
   2.91706    2.38497    2.58761    0.00000 
   2.77745    2.10741    1.43632    0.00000 
   2.92079    2.30799    1.58248    0.00000 
   2.99603    1.94899    0.04780    0.00000 
   3.10026    1.86014    0.41580    0.00000 
   2.99603    1.73273    1.08800    0.00000 
   2.91235    2.04390    0.23303    0.00000 
   2.99884    2.17996    0.59401    0.00000 
   3.31155    1.98585    3.87615    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.17456    1.62885    1.87364    0.00000 
   3.08428    2.12303    0.75419    0.00000 
   2.77745    2.10741    1.43632    0.00000 
   3.05984    1.95936    0.11390    0.00000 
   2.67420    2.13202    2.99505    0.00000 
   2.83152    1.92179    1.35090    0.00000 
   2.86132    1.76716    2.12530    0.00000 
   3.07588    1.94609    0.18449    0.00000 
   2.88881    1.70283    2.37401    0.00000 
   2.89960    1.70629    2.19876    0.00000 
   2.97081    2.08878    0.11875    0.00000 
   3.04459    2.28049    1.85310    0.00000 
   3.09505    1.74189    0.86144    0.00000 
   2.91668    2.12377    0.31871    0.00000 
   3.07027    2.52563    6.90464    0.00000 
   3.10026    1.85521    0.42762    0.00000 
   2.48731    2.65075   10.99572    0.00000 
   3.07625    2.06156    0.38197    0.00000 
   3.08736    1.75615    0.76945    0.00000 
   2.85571    2.36772    2.36458    0.00000 
   2.90719    1.92179    0.55209    0.00000 
   2.87914    1.92179    0.80497    0.00000 
   3.19841    1.74189    1.53310    0.00000 
   2.99603    2.17996    0.58423    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   3.08428    1.96203    0.22984    0.00000 
   3.19480    1.67820    1.76098    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.22624    2.12558    2.90781    0.00000 

Generation = 7

   3.08428    2.12303    0.75419    0.00000 
   2.87914    1.92179    0.80497    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   2.99044    2.04390    0.02840    0.00000 
